Year	CollegeGPA	HSGPA	EduQuality	FacQuality	ResQuality	EnvQuality	SocExpect	Recommend	BestAspect	ImpAspect	ImpQuality	ImpImage
3rd Year	4.88	4.4	5	5	4	4	5	5	Teaching/Learning	Teaching/Learning	Yes	Yes
4th Year	4.56	4.5	5	4	4	4	5	5	Faculty	Teaching/Learning	Yes	Yes
3rd Year	4.25	3	5	5	4	4	5	3	Teaching/Learning	Faculty	Yes	Yes
3rd Year	3.38	3.6	5	5	4	3	4	5	Teaching/Learning	Teaching/Learning	Yes	Yes
4th Year	5	4.7	5	5	4	4	3	2	Teaching/Learning	Overall learning environment	Yes	Yes
4th Year	4.44	4.4	5	5	3	4	5	5	Faculty	Faculty	Yes	Yes
3rd Year	2.75	3.1	4	5	3	4	4	5	Teaching/Learning	Teaching/Learning	Yes	Yes
2nd Year	4.06	3.6	5	5	4	4	5	5	Faculty	Faculty	Yes	Yes
2nd Year	4.13	4.4	5	5	4	4	4	5	Resources	Resources	Yes	Yes
2nd Year	4.5	4.9	5	5	4	4	4	4	Resources	Resources	Yes	Yes
3rd Year	4.88	4.6	5	4	3	3	3	5	Faculty	Resources	Yes	Yes
3rd Year	4.81	5	4	3	2	3	3	3	Teaching/Learning	"Faculty, Resources, Overall learning environment"	Yes	No
2nd Year	3.81	4	5	4	3	4	4	3	Teaching/Learning	Resources	Yes	Yes
2nd Year	3.75	3.7	5	5	3	4	4	3	Teaching/Learning	Overall learning environment	Yes	Yes
2nd Year	4.1	4	5	5	2	3	5	3	Teaching/Learning	Overall learning environment	Yes	Yes
3rd Year	4.19	4.7	5	3	1	4	3	5	Faculty	Resources	No	No
2nd Year	3.81	3.3	5	3	3	3	3	5	Faculty	Teaching/Learning	No	Yes
2nd Year	5	4.75	4	4	3	3	3	5	Faculty	"Faculty, Teaching/Learning, Overall learning environment"	No	Yes
2nd Year	3.5	3.3		4	3	3	3	2	Teaching/Learning	"Resources, Teaching/Learning"	Yes	Yes
1st Year	3.05	3.35	4	4	2	2	4	5	Faculty	Overall learning environment	Yes	Yes
